#Batch CD-search tool	NIH/NLM/NCBI
#cdsid	QM3-qcdsearch-357ED6FABFF6BC58-389919C8DFD82509
#datatype	hitsConcise Results
#status	0
#Start time	2020-09-24T23:15:35	Run time	0:00:03:06
#status	success

Query	Hit type	PSSM-ID	From	To	E-Value	Bitscore	Accession	Short name	Incomplete	Superfamily
Q#1 - >Pavir.1KG040000.1.p	specific	368006	14	48	2.12417e-09	53.1664	pfam04577	DUF563	N	cl15705
Q#2 - >Pavir.1KG262700.1.p	specific	368006	309	506	1.55035e-14	72.8116	pfam04577	DUF563	 - 	cl15705
Q#3 - >Pavir.1KG262700.2.p	specific	368006	309	506	1.55035e-14	72.8116	pfam04577	DUF563	 - 	cl15705
Q#4 - >Pavir.1KG262700.3.p	specific	368006	308	505	1.54698e-14	72.8116	pfam04577	DUF563	 - 	cl15705
Q#5 - >Pavir.1KG262700.4.p	specific	368006	308	505	1.54698e-14	72.8116	pfam04577	DUF563	 - 	cl15705
Q#6 - >Pavir.1KG262700.5.p	specific	368006	272	469	1.50897e-14	72.4264	pfam04577	DUF563	 - 	cl15705
Q#7 - >Pavir.1KG262700.6.p	specific	368006	271	468	1.50538e-14	72.4264	pfam04577	DUF563	 - 	cl15705
Q#8 - >Pavir.1KG308000.1.p	specific	368006	227	428	8.07764e-18	82.0564	pfam04577	DUF563	 - 	cl15705
Q#9 - >Pavir.1KG308000.2.p	specific	368006	225	426	8.66721e-18	81.6712	pfam04577	DUF563	 - 	cl15705
Q#10 - >Pavir.1KG323700.1.p	specific	368006	297	500	2.61219e-07	51.2404	pfam04577	DUF563	 - 	cl15705
Q#11 - >Pavir.1NG033800.1.p	specific	368006	249	396	1.49179e-14	72.4264	pfam04577	DUF563	N	cl15705
Q#12 - >Pavir.1NG033800.2.p	specific	368006	135	282	4.29315e-14	70.5004	pfam04577	DUF563	N	cl15705
Q#13 - >Pavir.1NG159600.1.p	specific	368006	216	421	1.09365e-13	69.73	pfam04577	DUF563	 - 	cl15705
Q#14 - >Pavir.1NG159700.1.p	specific	368006	215	411	4.06999e-17	79.7452	pfam04577	DUF563	 - 	cl15705
Q#15 - >Pavir.1NG205600.1.p	specific	368006	306	503	2.31693e-15	75.1228	pfam04577	DUF563	 - 	cl15705
Q#16 - >Pavir.1NG205600.2.p	specific	368006	305	502	2.06212e-15	75.1228	pfam04577	DUF563	 - 	cl15705
Q#17 - >Pavir.1NG205600.3.p	specific	368006	269	466	2.59872e-15	74.7376	pfam04577	DUF563	 - 	cl15705
Q#18 - >Pavir.1NG205600.4.p	specific	368006	268	465	2.29043e-15	75.1228	pfam04577	DUF563	 - 	cl15705
Q#22 - >Pavir.1NG276600.1.p	specific	368006	230	454	1.33584e-18	83.9824	pfam04577	DUF563	 - 	cl15705
Q#23 - >Pavir.1NG276600.2.p	specific	368006	227	451	1.36066e-18	83.9824	pfam04577	DUF563	 - 	cl15705
Q#24 - >Pavir.1NG276600.3.p	specific	368006	226	402	3.10288e-16	77.0488	pfam04577	DUF563	N	cl15705
Q#25 - >Pavir.1NG519600.1.p	specific	368006	170	392	6.10311e-15	73.1968	pfam04577	DUF563	 - 	cl15705
Q#26 - >Pavir.1NG522200.1.p	specific	368006	171	382	4.57748e-15	73.582	pfam04577	DUF563	 - 	cl15705
Q#27 - >Pavir.2KG367200.1.p	specific	368006	281	389	3.72085e-13	68.1892	pfam04577	DUF563	N	cl15705
Q#28 - >Pavir.2KG580500.1.p	specific	368006	360	465	4.67223e-08	53.5516	pfam04577	DUF563	N	cl15705
Q#29 - >Pavir.2NG363100.1.p	specific	368006	21	166	4.89456e-11	59.7148	pfam04577	DUF563	N	cl15705
Q#30 - >Pavir.2NG363200.1.p	specific	368006	277	386	4.12978e-12	65.1076	pfam04577	DUF563	N	cl15705
Q#31 - >Pavir.2NG639500.1.p	specific	368006	197	302	7.41794e-08	52.396	pfam04577	DUF563	N	cl15705
Q#32 - >Pavir.3NG086100.1.p	specific	368006	360	466	7.22461e-08	52.7812	pfam04577	DUF563	N	cl15705
Q#34 - >Pavir.4KG105500.1.p	specific	368006	244	447	6.31196e-14	70.5004	pfam04577	DUF563	 - 	cl15705
Q#35 - >Pavir.4KG105700.1.p	specific	368006	286	506	3.35702e-18	83.212	pfam04577	DUF563	 - 	cl15705
Q#36 - >Pavir.4KG105800.1.p	specific	368006	217	407	8.81059e-20	87.4492	pfam04577	DUF563	 - 	cl15705
Q#37 - >Pavir.4KG221000.1.p	specific	368006	282	487	1.87726e-13	69.3448	pfam04577	DUF563	 - 	cl15705
Q#38 - >Pavir.4KG250000.1.p	specific	368006	36	249	3.90285e-12	64.3372	pfam04577	DUF563	 - 	cl15705
Q#39 - >Pavir.4KG254400.1.p	specific	368006	193	389	2.28531e-17	80.5156	pfam04577	DUF563	 - 	cl15705
Q#40 - >Pavir.4KG254500.1.p	superfamily	387666	1	26	0.000394781	38.1436	cl15705	DUF563 superfamily	N	 - 
Q#41 - >Pavir.4NG080700.1.p	specific	368006	151	352	1.18235e-11	63.5668	pfam04577	DUF563	 - 	cl15705
Q#42 - >Pavir.4NG148200.1.p	specific	368006	244	447	9.49871e-14	70.1152	pfam04577	DUF563	 - 	cl15705
