#Batch CD-search tool	NIH/NLM/NCBI
#cdsid	QM3-qcdsearch-2FEC21DFEEB5433B-72E8947470D4D2E
#datatype	hitsConcise Results
#status	0
#Start time	2020-09-24T22:46:05	Run time	0:00:01:57
#status	success

Query	Hit type	PSSM-ID	From	To	E-Value	Bitscore	Accession	Short name	Incomplete	Superfamily
Q#1 - >Pavir.1KG439900.1.p	specific	367480	38	236	5.11047e-65	201.783	pfam03407	Nucleotid_trans	 - 	cl11394
Q#2 - >Pavir.1KG439900.2.p	specific	367480	38	171	1.57496e-38	130.521	pfam03407	Nucleotid_trans	C	cl11394
Q#3 - >Pavir.1KG439900.3.p	specific	367480	38	194	1.31157e-42	143.232	pfam03407	Nucleotid_trans	 - 	cl11394
Q#4 - >Pavir.1KG439900.4.p	specific	367480	1	125	2.30647e-40	134.758	pfam03407	Nucleotid_trans	N	cl11394
Q#5 - >Pavir.1KG439900.5.p	specific	367480	38	189	5.68711e-48	155.559	pfam03407	Nucleotid_trans	C	cl11394
Q#6 - >Pavir.1KG439900.6.p	specific	367480	38	171	1.57496e-38	130.521	pfam03407	Nucleotid_trans	C	cl11394
Q#7 - >Pavir.1KG452600.1.p	specific	367480	155	353	2.03907e-68	214.879	pfam03407	Nucleotid_trans	 - 	cl11394
Q#8 - >Pavir.1NG267700.1.p	specific	367480	21	170	1.9386e-43	146.314	pfam03407	Nucleotid_trans	C	cl11394
Q#9 - >Pavir.1NG429200.1.p	specific	367480	155	324	6.57632e-50	165.959	pfam03407	Nucleotid_trans	 - 	cl11394
Q#10 - >Pavir.1NG429200.2.p	superfamily	386096	155	259	1.66967e-22	91.6156	cl11394	Glyco_tranf_GTA_type superfamily	C	 - 
Q#11 - >Pavir.1NG484700.1.p	superfamily	386096	63	184	3.34928e-13	65.422	cl11394	Glyco_tranf_GTA_type superfamily	N	 - 
Q#12 - >Pavir.1NG532200.1.p	superfamily	386096	115	255	1.86834e-25	99.7048	cl11394	Glyco_tranf_GTA_type superfamily	C	 - 
Q#13 - >Pavir.1NG532200.2.p	superfamily	386096	115	192	2.1821e-16	74.2816	cl11394	Glyco_tranf_GTA_type superfamily	C	 - 
Q#14 - >Pavir.1NG532200.3.p	superfamily	386096	115	176	7.54895e-10	55.4069	cl11394	Glyco_tranf_GTA_type superfamily	C	 - 
Q#15 - >Pavir.1NG532200.4.p	superfamily	386096	115	204	7.31799e-24	94.312	cl11394	Glyco_tranf_GTA_type superfamily	C	 - 
Q#16 - >Pavir.2KG251400.1.p	specific	367480	209	405	1.04e-64	206.79	pfam03407	Nucleotid_trans	 - 	cl11394
