#Batch CD-search tool	NIH/NLM/NCBI
#cdsid	QM3-qcdsearch-374131B4F0AAEBC9-382D7F9439A56FB2
#datatype	hitsConcise Results
#status	0
#Start time	2020-10-09T18:48:42	Run time	0:00:01:42
#status	success

Query	Hit type	PSSM-ID	From	To	E-Value	Bitscore	Accession	Short name	Incomplete	Superfamily
Q#1 - >AT1G32770	specific	367055	18	144	1.96711e-32	116.275	pfam02365	NAM	 - 	cl03558
Q#2 - >AT3G12910	specific	367055	23	150	9.31478e-30	108.186	pfam02365	NAM	 - 	cl03558
Q#3 - >AT3G43210	specific	276825	29	348	3.38572e-151	449.09	cd01374	KISc_CENP_E	 - 	cl22853
Q#3 - >AT3G43210	specific	371840	755	917	1.29807e-90	284.472	pfam11995	DUF3490	 - 	cl13436
Q#3 - >AT3G43210	superfamily	224117	364	585	0.000129418	45.8608	cl34174	Smc superfamily	NC	 - 
Q#4 - >AT3G10490	specific	367055	29	154	1.29106e-36	129.372	pfam02365	NAM	 - 	cl03558
Q#5 - >AT3G49530	specific	367055	15	140	8.11276e-30	111.268	pfam02365	NAM	 - 	cl03558
Q#6 - >AT1G34180	specific	367055	18	155	5.43895e-33	120.898	pfam02365	NAM	 - 	cl03558
Q#7 - >AT1G33040	specific	376630	67	120	4.19162e-19	77.0962	pfam01849	NAC	 - 	cl29457
Q#7 - >AT1G33040	specific	270541	172	208	4.82631e-15	66.1075	cd14358	UBA_NAC_euk	 - 	cl21463
Q#8 - >AT3G18400	specific	367055	7	130	6.57997e-42	139.773	pfam02365	NAM	 - 	cl03558
Q#9 - >AT1G02250	specific	367055	5	131	3.78786e-23	91.6226	pfam02365	NAM	 - 	cl03558
Q#10 - >AT3G56520	specific	367055	10	71	7.84661e-13	60.8066	pfam02365	NAM	C	cl03558
Q#11 - >AT3G12977	specific	367055	20	143	9.96358e-34	117.816	pfam02365	NAM	 - 	cl03558
Q#12 - >AT2G18060	specific	367055	11	137	1.07717e-35	125.135	pfam02365	NAM	 - 	cl03558
Q#13 - >AT1G19040	specific	367055	8	70	4.44195e-10	53.4878	pfam02365	NAM	C	cl03558
Q#13 - >AT1G19040	specific	367055	114	140	9.87707e-06	41.9318	pfam02365	NAM	C	cl03558
Q#14 - >AT3G10480	specific	367055	29	187	8.34383e-33	120.127	pfam02365	NAM	 - 	cl03558
Q#15 - >AT1G32510	specific	367055	8	140	2.05721e-29	106.645	pfam02365	NAM	 - 	cl03558
Q#16 - >AT2G17040	specific	367055	8	134	4.19329e-33	115.89	pfam02365	NAM	 - 	cl03558
Q#17 - >AT1G52890	specific	367055	16	139	4.8814e-36	124.75	pfam02365	NAM	 - 	cl03558
Q#18 - >AT2G33480	specific	367055	17	137	6.40318e-34	117.816	pfam02365	NAM	 - 	cl03558
Q#19 - >AT3G17730	specific	367055	8	133	4.67281e-37	125.52	pfam02365	NAM	 - 	cl03558
Q#20 - >AT1G26870	specific	367055	18	142	1.0198e-36	128.987	pfam02365	NAM	 - 	cl03558
Q#21 - >AT1G77450	specific	367055	12	134	6.49378e-39	130.143	pfam02365	NAM	 - 	cl03558
Q#22 - >AT3G55210	specific	367055	13	150	1.73762e-15	70.0514	pfam02365	NAM	 - 	cl03558
