#Batch CD-search tool	NIH/NLM/NCBI
#cdsid	QM3-qcdsearch-270592EB4EC42BBC-2461AF390308564B
#datatype	hitsConcise Results
#status	0
#Start time	2020-09-24T23:01:32	Run time	0:00:04:07
#status	success

Query	Hit type	PSSM-ID	From	To	E-Value	Bitscore	Accession	Short name	Incomplete	Superfamily
Q#1 - >Pavir.1KG062400.1.p	specific	211385	174	509	3.55902e-155	445.471	cd11299	O-FucT_plant	 - 	cl16914
Q#2 - >Pavir.1KG071200.1.p	specific	211383	228	387	2.81166e-23	96.7175	cd11296	O-FucT_like	N	cl16914
Q#3 - >Pavir.1KG112000.1.p	superfamily	388359	1	222	5.34212e-90	268.664	cl16914	O-FucT_like superfamily	N	 - 
Q#4 - >Pavir.1KG489500.1.p	specific	211385	109	434	4.24755e-162	460.879	cd11299	O-FucT_plant	 - 	cl16914
Q#5 - >Pavir.1NG018100.1.p	superfamily	388359	6	137	2.06363e-58	184.69	cl16914	O-FucT_like superfamily	N	 - 
Q#6 - >Pavir.1NG019400.1.p	specific	211385	177	512	5.92735e-154	442.774	cd11299	O-FucT_plant	 - 	cl16914
Q#7 - >Pavir.1NG063400.1.p	specific	211383	228	387	7.78864e-24	98.2583	cd11296	O-FucT_like	N	cl16914
Q#8 - >Pavir.1NG399300.1.p	specific	211385	95	416	3.55733e-158	452.019	cd11299	O-FucT_plant	 - 	cl16914
Q#9 - >Pavir.1NG399300.2.p	specific	211385	95	366	3.70121e-117	345.704	cd11299	O-FucT_plant	 - 	cl16914
Q#10 - >Pavir.1NG399300.3.p	specific	211385	94	365	4.12612e-117	345.704	cd11299	O-FucT_plant	 - 	cl16914
Q#11 - >Pavir.1NG399300.4.p	specific	211385	94	415	3.96047e-158	452.019	cd11299	O-FucT_plant	 - 	cl16914
Q#12 - >Pavir.1NG399300.5.p	specific	211385	29	335	1.45994e-146	419.277	cd11299	O-FucT_plant	 - 	cl16914
Q#13 - >Pavir.1NG399300.6.p	specific	211385	29	335	1.45994e-146	419.277	cd11299	O-FucT_plant	 - 	cl16914
Q#14 - >Pavir.1NG467800.1.p	specific	211385	107	432	3.4725e-162	460.879	cd11299	O-FucT_plant	 - 	cl16914
Q#15 - >Pavir.1NG467800.2.p	specific	211385	1	324	1.8086e-160	452.404	cd11299	O-FucT_plant	 - 	cl16914
Q#16 - >Pavir.1NG467800.3.p	superfamily	388359	1	240	8.57322e-107	312.577	cl16914	O-FucT_like superfamily	N	 - 
