#Batch CD-search tool	NIH/NLM/NCBI
#cdsid	QM3-qcdsearch-A0537A724157491-1C2A498EC305DD0E
#datatype	hitsConcise Results
#status	0
#Start time	2020-09-24T23:38:46	Run time	0:00:03:46
#status	success

Query	Hit type	PSSM-ID	From	To	E-Value	Bitscore	Accession	Short name	Incomplete	Superfamily
Q#1 - >Pavir.1KG175500.1.p	superfamily	367054	7	285	5.28973e-59	205.871	cl15642	Glucan_synthase superfamily	N	 - 
Q#2 - >Pavir.1KG175500.2.p	superfamily	367054	1	225	6.19791e-55	192.774	cl15642	Glucan_synthase superfamily	N	 - 
Q#3 - >Pavir.1KG175600.1.p	superfamily	367054	1138	1466	2.83282e-113	377.285	cl15642	Glucan_synthase superfamily	C	 - 
Q#3 - >Pavir.1KG175600.1.p	specific	372996	338	439	1.0872e-45	159.651	pfam14288	FKS1_dom1	 - 	cl16776
Q#3 - >Pavir.1KG175600.1.p	superfamily	368039	80	154	5.62036e-08	52.9403	cl24167	Vta1 superfamily	C	 - 
Q#4 - >Pavir.1KG175600.10.p	superfamily	367054	1015	1343	1.82644e-113	376.129	cl15642	Glucan_synthase superfamily	C	 - 
Q#4 - >Pavir.1KG175600.10.p	specific	372996	234	335	1.08198e-45	159.651	pfam14288	FKS1_dom1	 - 	cl16776
Q#5 - >Pavir.1KG175600.2.p	superfamily	367054	1119	1447	2.67106e-113	377.285	cl15642	Glucan_synthase superfamily	C	 - 
Q#5 - >Pavir.1KG175600.2.p	specific	372996	338	439	1.06016e-45	159.651	pfam14288	FKS1_dom1	 - 	cl16776
Q#5 - >Pavir.1KG175600.2.p	superfamily	368039	80	154	5.3742e-08	52.9403	cl24167	Vta1 superfamily	C	 - 
Q#6 - >Pavir.1KG175600.3.p	superfamily	367054	1119	1447	2.76103e-113	377.285	cl15642	Glucan_synthase superfamily	C	 - 
Q#6 - >Pavir.1KG175600.3.p	specific	372996	338	439	9.83091e-46	159.651	pfam14288	FKS1_dom1	 - 	cl16776
Q#6 - >Pavir.1KG175600.3.p	superfamily	368039	80	154	5.49088e-08	52.9403	cl24167	Vta1 superfamily	C	 - 
Q#7 - >Pavir.1KG175600.4.p	superfamily	367054	1115	1443	1.60168e-113	377.67	cl15642	Glucan_synthase superfamily	C	 - 
Q#7 - >Pavir.1KG175600.4.p	specific	372996	338	439	8.89684e-46	160.036	pfam14288	FKS1_dom1	 - 	cl16776
Q#7 - >Pavir.1KG175600.4.p	superfamily	368039	80	154	5.80145e-08	52.9403	cl24167	Vta1 superfamily	C	 - 
Q#8 - >Pavir.1KG175600.5.p	superfamily	367054	1094	1422	1.88397e-113	377.285	cl15642	Glucan_synthase superfamily	C	 - 
