#Batch CD-search tool	NIH/NLM/NCBI
#cdsid	QM3-qcdsearch-1380177480CF451C-9911B9F32EDAE09
#datatype	hitsConcise Results
#status	0
#Start time	2020-09-23T21:17:24	Run time	0:00:12:18
#status	success

Query	Hit type	PSSM-ID	From	To	E-Value	Bitscore	Accession	Short name	Incomplete	Superfamily
Q#1 - >Pavir.1KG046000.1.p	superfamily	385653	18	430	1.52689e-51	180.561	cl10013	Glycosyltransferase_GTB-type superfamily	 - 	 - 
Q#2 - >Pavir.1KG082000.1.p	superfamily	385653	12	490	4.90069e-137	404.627	cl10013	Glycosyltransferase_GTB-type superfamily	 - 	 - 
Q#3 - >Pavir.1KG093700.1.p	superfamily	385653	23	476	5.11846e-157	454.642	cl10013	Glycosyltransferase_GTB-type superfamily	 - 	 - 
Q#4 - >Pavir.1KG094000.1.p	superfamily	385653	21	466	2.26863e-149	435.382	cl10013	Glycosyltransferase_GTB-type superfamily	 - 	 - 
Q#5 - >Pavir.1KG123000.1.p	superfamily	385653	1	461	1.65939e-143	419.649	cl10013	Glycosyltransferase_GTB-type superfamily	 - 	 - 
Q#6 - >Pavir.1KG123200.1.p	superfamily	385653	12	489	5.29528e-137	404.241	cl10013	Glycosyltransferase_GTB-type superfamily	 - 	 - 
Q#7 - >Pavir.1KG147600.1.p	superfamily	385653	7	351	9.46584e-66	215.433	cl10013	Glycosyltransferase_GTB-type superfamily	N	 - 
Q#8 - >Pavir.1KG179600.1.p	superfamily	385653	13	472	2.42327e-105	322.699	cl10013	Glycosyltransferase_GTB-type superfamily	 - 	 - 
Q#9 - >Pavir.1KG179700.1.p	superfamily	385653	18	445	2.45478e-103	318.077	cl10013	Glycosyltransferase_GTB-type superfamily	 - 	 - 
Q#10 - >Pavir.1KG179800.1.p	superfamily	385653	30	491	4.45648e-113	342.443	cl10013	Glycosyltransferase_GTB-type superfamily	 - 	 - 
Q#11 - >Pavir.1KG188500.1.p	superfamily	385653	8	478	1.06089e-82	264.028	cl10013	Glycosyltransferase_GTB-type superfamily	 - 	 - 
Q#12 - >Pavir.1KG281300.1.p	superfamily	278624	45	472	2.84567e-117	352.866	cl37490	UDPGT superfamily	 - 	 - 
Q#13 - >Pavir.1KG281400.1.p	superfamily	278624	50	478	1.1788e-49	176.83	cl37490	UDPGT superfamily	 - 	 - 
Q#14 - >Pavir.1KG284000.1.p	superfamily	385653	19	482	9.29812e-97	301.007	cl10013	Glycosyltransferase_GTB-type superfamily	 - 	 - 
Q#15 - >Pavir.1KG342600.1.p	specific	340817	41	203	1.46975e-45	155.017	cd03784	GT1_Gtf-like	N	cl10013
Q#16 - >Pavir.1KG343000.1.p	superfamily	385653	1	490	1.80452e-78	252.268	cl10013	Glycosyltransferase_GTB-type superfamily	 - 	 - 
Q#17 - >Pavir.1KG347100.1.p	superfamily	385653	25	375	4.25084e-67	218.756	cl10013	Glycosyltransferase_GTB-type superfamily	N	 - 
Q#18 - >Pavir.1KG394700.1.p	superfamily	385653	1	403	2.63425e-133	390.011	cl10013	Glycosyltransferase_GTB-type superfamily	 - 	 - 
Q#19 - >Pavir.1NG032500.1.p	superfamily	385653	7	249	1.89807e-58	192.404	cl10013	Glycosyltransferase_GTB-type superfamily	N	 - 
Q#20 - >Pavir.1NG083800.1.p	superfamily	385653	1	203	3.92873e-80	246.634	cl10013	Glycosyltransferase_GTB-type superfamily	N	 - 
Q#21 - >Pavir.1NG102900.1.p	superfamily	385653	20	429	2.12191e-109	331.439	cl10013	Glycosyltransferase_GTB-type superfamily	 - 	 - 
Q#22 - >Pavir.1NG105300.1.p	superfamily	385653	9	487	4.57065e-144	422.346	cl10013	Glycosyltransferase_GTB-type superfamily	 - 	 - 
Q#23 - >Pavir.1NG105600.1.p	superfamily	385653	11	386	1.41205e-79	252.858	cl10013	Glycosyltransferase_GTB-type superfamily	 - 	 - 
Q#24 - >Pavir.1NG105800.1.p	superfamily	385653	2	271	2.4412e-91	279.052	cl10013	Glycosyltransferase_GTB-type superfamily	N	 - 
Q#25 - >Pavir.1NG131700.1.p	superfamily	385653	17	482	2.42707e-105	322.699	cl10013	Glycosyltransferase_GTB-type superfamily	 - 	 - 
Q#26 - >Pavir.1NG142300.1.p	superfamily	385653	201	499	3.69625e-67	223.968	cl10013	Glycosyltransferase_GTB-type superfamily	N	 - 
Q#26 - >Pavir.1NG142300.1.p	superfamily	185628	17	118	0.00280988	40.4434	cl33186	PTZ00449 superfamily	NC	 - 
Q#27 - >Pavir.1NG143100.1.p	superfamily	385653	11	462	7.82167e-137	400.947	cl10013	Glycosyltransferase_GTB-type superfamily	 - 	 - 
Q#28 - >Pavir.1NG143200.1.p	superfamily	385653	8	458	3.22405e-145	422.518	cl10013	Glycosyltransferase_GTB-type superfamily	 - 	 - 
Q#29 - >Pavir.1NG202900.1.p	specific	340817	4	446	4.69197e-81	257.095	cd03784	GT1_Gtf-like	 - 	cl10013
Q#30 - >Pavir.1NG203000.1.p	superfamily	385653	12	278	1.18036e-50	174.601	cl10013	Glycosyltransferase_GTB-type superfamily	NC	 - 
Q#31 - >Pavir.1NG203100.1.p	superfamily	385653	9	356	3.71667e-69	224.292	cl10013	Glycosyltransferase_GTB-type superfamily	N	 - 
Q#32 - >Pavir.1NG236800.1.p	superfamily	385653	13	289	1.78683e-51	179.296	cl10013	Glycosyltransferase_GTB-type superfamily	 - 	 - 
Q#33 - >Pavir.1NG318200.1.p	superfamily	385653	38	493	1.62766e-81	261.128	cl10013	Glycosyltransferase_GTB-type superfamily	 - 	 - 
Q#34 - >Pavir.1NG318200.2.p	superfamily	385653	12	467	7.89668e-82	261.128	cl10013	Glycosyltransferase_GTB-type superfamily	 - 	 - 
Q#35 - >Pavir.1NG419700.1.p	superfamily	385653	13	475	6.94366e-100	308.447	cl10013	Glycosyltransferase_GTB-type superfamily	 - 	 - 
Q#36 - >Pavir.1NG494200.1.p	superfamily	385653	12	482	5.43596e-96	297.336	cl10013	Glycosyltransferase_GTB-type superfamily	 - 	 - 
Q#37 - >Pavir.1NG494300.1.p	superfamily	385653	2	444	7.08546e-86	271.11	cl10013	Glycosyltransferase_GTB-type superfamily	 - 	 - 
