#Batch CD-search tool	NIH/NLM/NCBI
#cdsid	QM3-qcdsearch-2A2D38C54780ACAF-D6359CFA910C46A
#datatype	hitsConcise Results
#status	0
#Start time	2020-09-24T22:37:26	Run time	0:00:03:36
#status	success

Query	Hit type	PSSM-ID	From	To	E-Value	Bitscore	Accession	Short name	Incomplete	Superfamily
Q#1 - >Pavir.1KG224800.1.p	superfamily	215443	1	487	0	1034.42	cl30821	PLN02829 superfamily	N	 - 
Q#2 - >Pavir.1KG242600.1.p	superfamily	215286	39	528	0	920.039	cl30818	PLN02523 superfamily	 - 	 - 
Q#3 - >Pavir.1KG336800.1.p	specific	133018	315	560	3.96308e-66	216.744	cd02537	GT8_Glycogenin	 - 	cl11394
Q#4 - >Pavir.1KG336800.2.p	specific	133018	315	560	3.96308e-66	216.744	cd02537	GT8_Glycogenin	 - 	cl11394
Q#5 - >Pavir.1KG509600.1.p	superfamily	215286	46	490	7.7974e-179	513.268	cl30818	PLN02523 superfamily	 - 	 - 
Q#6 - >Pavir.1KG511400.1.p	specific	279798	58	324	4.3146e-48	163.262	pfam01501	Glyco_transf_8	 - 	cl11394
Q#7 - >Pavir.1NG289600.1.p	specific	133018	315	561	5.85388e-64	210.966	cd02537	GT8_Glycogenin	 - 	cl11394
Q#8 - >Pavir.1NG402300.1.p	specific	215286	41	527	0	925.431	PLN02523	PLN02523	 - 	cl30818
Q#9 - >Pavir.1NG535200.1.p	specific	279798	57	323	2.60444e-48	163.647	pfam01501	Glyco_transf_8	 - 	cl11394
Q#10 - >Pavir.2KG378600.1.p	superfamily	215493	87	682	0	849.234	cl30817	PLN02910 superfamily	 - 	 - 
Q#11 - >Pavir.2KG409000.1.p	superfamily	215443	175	701	0	853.373	cl30821	PLN02829 superfamily	 - 	 - 
Q#12 - >Pavir.2KG565800.1.p	specific	279798	66	329	3.53245e-54	178.284	pfam01501	Glyco_transf_8	 - 	cl11394
Q#13 - >Pavir.2KG570400.1.p	specific	215090	16	315	0	611.313	PLN00176	PLN00176	 - 	cl11394
Q#14 - >Pavir.2KG585800.1.p	specific	215412	1	637	0	1052.75	PLN02769	PLN02769	 - 	cl30823
Q#15 - >Pavir.2KG585800.2.p	specific	215412	18	561	0	970.705	PLN02769	PLN02769	 - 	cl30823
Q#16 - >Pavir.2NG186000.1.p	superfamily	215412	3	205	3.74614e-134	389.439	cl30823	PLN02769 superfamily	N	 - 
Q#17 - >Pavir.2NG381300.1.p	superfamily	215443	185	705	0	866.855	cl30821	PLN02829 superfamily	 - 	 - 
