#Batch CD-search tool	NIH/NLM/NCBI
#cdsid	QM3-qcdsearch-161D745DC1BBBBC7-3FEB4B79789A33BE
#datatype	hitsConcise Results
#status	0
#Start time	2020-09-25T18:41:54	Run time	0:00:02:17
#status	success

Query	Hit type	PSSM-ID	From	To	E-Value	Bitscore	Accession	Short name	Incomplete	Superfamily
Q#1 - >Pavir.1KG067000.1.p	superfamily	178735	1	400	0	688.244	cl31980	PLN03193 superfamily	 - 	 - 
Q#2 - >Pavir.1KG280900.1.p	superfamily	389837	120	252	1.04471e-09	56.9502	cl21608	Galactosyl_T superfamily	 - 	 - 
Q#3 - >Pavir.1KG346400.1.p	superfamily	215596	16	613	0	895.311	cl27711	PLN03133 superfamily	 - 	 - 
Q#4 - >Pavir.1KG361800.1.p	superfamily	178735	13	394	0	614.286	cl31980	PLN03193 superfamily	 - 	 - 
Q#5 - >Pavir.1NG059800.1.p	superfamily	178735	17	401	0	668.599	cl31980	PLN03193 superfamily	 - 	 - 
Q#6 - >Pavir.1NG059800.2.p	superfamily	178735	17	352	0	578.847	cl31980	PLN03193 superfamily	 - 	 - 
Q#7 - >Pavir.1NG306100.1.p	superfamily	178735	2	396	0	613.13	cl31980	PLN03193 superfamily	 - 	 - 
Q#8 - >Pavir.1NG306100.2.p	superfamily	178735	2	395	0	611.589	cl31980	PLN03193 superfamily	 - 	 - 
Q#9 - >Pavir.1NG317300.1.p	superfamily	215596	16	614	0	898.393	cl27711	PLN03133 superfamily	 - 	 - 
Q#10 - >Pavir.1NG317300.2.p	superfamily	215596	16	588	0	894.541	cl27711	PLN03133 superfamily	 - 	 - 
Q#11 - >Pavir.1NG317300.3.p	superfamily	215596	16	614	0	898.393	cl27711	PLN03133 superfamily	 - 	 - 
Q#12 - >Pavir.1NG317300.4.p	superfamily	215596	16	588	0	894.541	cl27711	PLN03133 superfamily	 - 	 - 
Q#13 - >Pavir.1NG520600.1.p	superfamily	389837	80	232	3.50595e-08	52.713	cl21608	Galactosyl_T superfamily	 - 	 - 
Q#14 - >Pavir.1NG520600.2.p	superfamily	389837	80	232	3.50595e-08	52.713	cl21608	Galactosyl_T superfamily	 - 	 - 
Q#15 - >Pavir.1NG520700.1.p	superfamily	389837	115	280	4.86927e-10	58.1058	cl21608	Galactosyl_T superfamily	 - 	 - 
Q#16 - >Pavir.2KG101200.1.p	superfamily	215596	1	447	2.42602e-123	372.21	cl27711	PLN03133 superfamily	N	 - 
Q#17 - >Pavir.2KG101700.1.p	superfamily	215596	1	446	1.24944e-126	380.685	cl27711	PLN03133 superfamily	N	 - 
Q#18 - >Pavir.2KG101700.2.p	superfamily	215596	1	410	3.7652e-104	321.364	cl27711	PLN03133 superfamily	N	 - 
Q#19 - >Pavir.2KG101700.3.p	superfamily	215596	7	387	4.34942e-113	343.706	cl27711	PLN03133 superfamily	N	 - 
Q#20 - >Pavir.2KG101700.4.p	superfamily	215596	7	351	1.35366e-90	284	cl27711	PLN03133 superfamily	N	 - 
Q#21 - >Pavir.2KG108000.1.p	superfamily	215596	175	659	1.57776e-123	380.3	cl27711	PLN03133 superfamily	N	 - 
Q#22 - >Pavir.2KG254600.1.p	superfamily	215596	24	117	0.00143764	38.6275	cl27711	PLN03133 superfamily	N	 - 
Q#23 - >Pavir.2KG254900.1.p	superfamily	389837	113	280	1.25665e-09	56.9502	cl21608	Galactosyl_T superfamily	 - 	 - 
Q#24 - >Pavir.2KG322400.1.p	superfamily	389837	29	160	2.61601e-09	54.639	cl21608	Galactosyl_T superfamily	 - 	 - 
Q#25 - >Pavir.2KG322500.1.p	superfamily	178735	85	263	8.6145e-12	65.3762	cl31980	PLN03193 superfamily	N	 - 
Q#26 - >Pavir.2KG348300.1.p	superfamily	178735	1	296	0	511.052	cl31980	PLN03193 superfamily	N	 - 
Q#27 - >Pavir.2KG348300.2.p	superfamily	178735	1	296	0	511.052	cl31980	PLN03193 superfamily	N	 - 
Q#28 - >Pavir.2NG074400.1.p	superfamily	215596	1	447	1.20843e-122	370.284	cl27711	PLN03133 superfamily	N	 - 
Q#29 - >Pavir.2NG074500.1.p	superfamily	215596	1	486	1.05413e-130	392.626	cl27711	PLN03133 superfamily	N	 - 
Q#30 - >Pavir.2NG074500.2.p	superfamily	215596	7	387	3.46981e-112	341.009	cl27711	PLN03133 superfamily	N	 - 
Q#31 - >Pavir.2NG349700.1.p	superfamily	178735	23	392	0	567.676	cl31980	PLN03193 superfamily	 - 	 - 
Q#32 - >Pavir.2NG352300.1.p	superfamily	178735	23	392	0	567.676	cl31980	PLN03193 superfamily	 - 	 - 
Q#33 - >Pavir.2NG645400.1.p	superfamily	178735	19	405	0	538.401	cl31980	PLN03193 superfamily	 - 	 - 
Q#34 - >Pavir.3KG197100.1.p	superfamily	178735	90	356	6.0107e-43	153.972	cl31980	PLN03193 superfamily	N	 - 
Q#35 - >Pavir.3KG198400.1.p	superfamily	178735	90	356	6.0107e-43	153.972	cl31980	PLN03193 superfamily	N	 - 
Q#36 - >Pavir.3KG288900.1.p	superfamily	389837	178	323	1.51088e-13	68.8914	cl21608	Galactosyl_T superfamily	 - 	 - 
Q#37 - >Pavir.3KG288900.2.p	superfamily	389837	114	259	1.42467e-13	68.5062	cl21608	Galactosyl_T superfamily	 - 	 - 
