#Batch CD-search tool	NIH/NLM/NCBI
#cdsid	QM3-qcdsearch-32E8667ECB860428-188E756A72E813EB
#datatype	hitsConcise Results
#status	0
#Start time	2020-09-23T20:17:12	Run time	0:00:01:31
#status	success

Query	Hit type	PSSM-ID	From	To	E-Value	Bitscore	Accession	Short name	Incomplete	Superfamily
Q#1 - >Pavir.1KG216300.1.p	superfamily	215385	17	49	3.67901e-17	70.8818	cl30529	PLN02726 superfamily	C	 - 
Q#2 - >Pavir.1KG442700.1.p	superfamily	386096	235	471	2.20842e-115	345.835	cl11394	Glyco_tranf_GTA_type superfamily	 - 	 - 
Q#3 - >Pavir.1NG056300.1.p	specific	133059	80	316	6.30559e-147	420.178	cd06437	CESA_CaSu_A2	 - 	cl11394
Q#4 - >Pavir.1NG084500.1.p	specific	215385	1	242	0	505.772	PLN02726	PLN02726	 - 	cl30529
Q#5 - >Pavir.1NG084500.2.p	superfamily	215385	1	205	5.73823e-146	405.62	cl30529	PLN02726 superfamily	 - 	 - 
Q#6 - >Pavir.2KG043000.1.p	superfamily	386096	1	236	2.93778e-117	342.753	cl11394	Glyco_tranf_GTA_type superfamily	 - 	 - 
Q#7 - >Pavir.2KG043000.2.p	superfamily	386096	1	232	5.21028e-113	331.968	cl11394	Glyco_tranf_GTA_type superfamily	 - 	 - 
Q#8 - >Pavir.2KG268700.1.p	superfamily	386096	115	351	2.78619e-130	379.347	cl11394	Glyco_tranf_GTA_type superfamily	 - 	 - 
Q#8 - >Pavir.2KG268700.1.p	superfamily	357701	298	431	0.00175356	41.0016	cl30825	PLN02893 superfamily	NC	 - 
Q#9 - >Pavir.2KG540000.1.p	superfamily	386096	137	373	3.10026e-129	377.421	cl11394	Glyco_tranf_GTA_type superfamily	 - 	 - 
Q#10 - >Pavir.2KG540000.2.p	superfamily	386096	50	286	7.20712e-131	378.191	cl11394	Glyco_tranf_GTA_type superfamily	 - 	 - 
Q#11 - >Pavir.2NG028000.1.p	superfamily	386096	236	472	1.79499e-114	343.524	cl11394	Glyco_tranf_GTA_type superfamily	 - 	 - 
Q#12 - >Pavir.2NG596700.1.p	superfamily	386096	137	373	1.00206e-128	375.88	cl11394	Glyco_tranf_GTA_type superfamily	 - 	 - 
Q#13 - >Pavir.2NG596700.2.p	superfamily	386096	50	286	1.52863e-130	377.421	cl11394	Glyco_tranf_GTA_type superfamily	 - 	 - 
Q#14 - >Pavir.2NG600700.1.p	superfamily	386096	137	373	1.00206e-128	375.88	cl11394	Glyco_tranf_GTA_type superfamily	 - 	 - 
Q#15 - >Pavir.2NG600700.2.p	superfamily	386096	137	373	1.55525e-128	373.954	cl11394	Glyco_tranf_GTA_type superfamily	 - 	 - 
Q#16 - >Pavir.2NG600700.3.p	superfamily	386096	50	286	1.52863e-130	377.421	cl11394	Glyco_tranf_GTA_type superfamily	 - 	 - 
Q#17 - >Pavir.3KG275000.1.p	specific	215385	1	242	0	508.083	PLN02726	PLN02726	 - 	cl30529
Q#18 - >Pavir.3KG275000.2.p	superfamily	215385	50	185	9.70771e-106	302.772	cl30529	PLN02726 superfamily	N	 - 
Q#19 - >Pavir.3KG275000.3.p	specific	215385	1	208	2.34781e-159	439.903	PLN02726	PLN02726	 - 	cl30529
Q#20 - >Pavir.3KG275000.4.p	superfamily	215385	6	178	3.26582e-137	382.123	cl30529	PLN02726 superfamily	N	 - 
Q#21 - >Pavir.3KG356600.1.p	superfamily	386096	229	465	4.99826e-115	344.679	cl11394	Glyco_tranf_GTA_type superfamily	 - 	 - 
Q#22 - >Pavir.4KG202600.1.p	specific	133059	147	392	2.11701e-132	386.281	cd06437	CESA_CaSu_A2	 - 	cl11394
Q#23 - >Pavir.4KG202600.2.p	specific	133059	147	382	1.18587e-135	393.985	cd06437	CESA_CaSu_A2	 - 	cl11394
Q#24 - >Pavir.4KG327800.1.p	specific	133059	102	340	1.1527e-140	405.155	cd06437	CESA_CaSu_A2	 - 	cl11394
Q#25 - >Pavir.4NG101500.1.p	superfamily	386096	3	224	4.34834e-124	358.931	cl11394	Glyco_tranf_GTA_type superfamily	 - 	 - 
Q#26 - >Pavir.4NG240500.1.p	superfamily	386096	62	344	1.31761e-125	366.635	cl11394	Glyco_tranf_GTA_type superfamily	 - 	 - 
