#Batch CD-search tool	NIH/NLM/NCBI
#cdsid	QM3-qcdsearch-B7162ED7F5811B1-233442BD2D47F6EB
#datatype	hitsConcise Results
#status	0
#Start time	2020-09-23T21:04:38	Run time	0:00:05:55
#status	success

Query	Hit type	PSSM-ID	From	To	E-Value	Bitscore	Accession	Short name	Incomplete	Superfamily
Q#1 - >Pavir.9KG389000.1.p	specific	215073	4	816	0	1727.91	PLN00142	PLN00142	 - 	cl30293
Q#2 - >Pavir.7KG322200.1.p	specific	340834	22	407	0	582.241	cd03805	GT4_ALG2-like	 - 	cl10013
Q#3 - >Pavir.9NG522800.2.p	specific	215073	4	816	0	1724.44	PLN00142	PLN00142	 - 	cl30293
Q#4 - >Pavir.9NG522800.3.p	specific	215073	4	816	0	1724.44	PLN00142	PLN00142	 - 	cl30293
Q#5 - >Pavir.7NG312300.1.p	specific	340834	21	406	0	586.478	cd03805	GT4_ALG2-like	 - 	cl10013
Q#6 - >Pavir.5KG125100.1.p	specific	340834	21	406	0	577.233	cd03805	GT4_ALG2-like	 - 	cl10013
Q#7 - >Pavir.4NG070700.2.p	specific	215073	1	802	0	1682.84	PLN00142	PLN00142	 - 	cl30293
Q#8 - >Pavir.4NG070700.3.p	specific	215073	1	802	0	1682.84	PLN00142	PLN00142	 - 	cl30293
Q#9 - >Pavir.4NG070700.1.p	specific	215073	1	748	0	1574.21	PLN00142	PLN00142	 - 	cl30293
Q#10 - >Pavir.4KG096200.1.p	specific	215073	1	802	0	1677.06	PLN00142	PLN00142	 - 	cl30293
Q#11 - >Pavir.7NG091000.2.p	specific	215073	1	818	0	1681.3	PLN00142	PLN00142	 - 	cl30293
Q#12 - >Pavir.7NG091000.1.p	specific	215073	1	818	0	1681.68	PLN00142	PLN00142	 - 	cl30293
Q#13 - >Pavir.1KG555800.1.p	specific	215073	1	813	0	1517.97	PLN00142	PLN00142	 - 	cl30293
Q#14 - >Pavir.9KG436700.1.p	specific	215073	2	678	0	1556.88	PLN00142	PLN00142	 - 	cl30293
Q#15 - >Pavir.9NG589700.2.p	specific	215073	1	809	0	1775.67	PLN00142	PLN00142	 - 	cl30293
Q#16 - >Pavir.9NG589700.1.p	specific	215073	1	805	0	1762.96	PLN00142	PLN00142	 - 	cl30293
Q#17 - >Pavir.4NG340200.1.p	specific	215073	1	818	0	1683.61	PLN00142	PLN00142	 - 	cl30293
Q#18 - >Pavir.4NG334300.1.p	specific	215073	1	818	0	1683.61	PLN00142	PLN00142	 - 	cl30293
Q#19 - >Pavir.1NG545300.1.p	superfamily	215073	1	656	0	1172.45	cl30293	PLN00142 superfamily	 - 	 - 
Q#20 - >Pavir.9KG502700.2.p	specific	215469	7	382	0	761.173	PLN02871	PLN02871	 - 	cl33585
Q#21 - >Pavir.9KG502700.1.p	specific	215469	1	413	0	797.381	PLN02871	PLN02871	 - 	cl33585
Q#22 - >Pavir.9KG510800.1.p	specific	215469	1	413	0	797.381	PLN02871	PLN02871	 - 	cl33585
Q#23 - >Pavir.J619500.1.p	superfamily	274147	1	479	0	1006.61	cl37117	sucrsPsyn_pln superfamily	NC	 - 
Q#24 - >Pavir.9NG663700.1.p	specific	215469	1	413	0	799.307	PLN02871	PLN02871	 - 	cl33585
Q#25 - >Pavir.5NG322700.4.p	superfamily	274147	15	555	0	726.96	cl37117	sucrsPsyn_pln superfamily	 - 	 - 
Q#26 - >Pavir.5NG322700.5.p	superfamily	274147	15	555	0	726.96	cl37117	sucrsPsyn_pln superfamily	 - 	 - 
Q#27 - >Pavir.5NG322700.6.p	superfamily	274147	1	762	0	1411.07	cl37117	sucrsPsyn_pln superfamily	 - 	 - 
Q#28 - >Pavir.5NG322700.7.p	superfamily	274147	15	763	0	1371.78	cl37117	sucrsPsyn_pln superfamily	 - 	 - 
Q#29 - >Pavir.5NG322700.8.p	superfamily	274147	20	768	0	1376.41	cl37117	sucrsPsyn_pln superfamily	 - 	 - 
Q#30 - >Pavir.5KG728500.1.p	specific	274147	1	1019	0	1865.22	TIGR02468	sucrsPsyn_pln	 - 	cl37117
Q#31 - >Pavir.5NG322700.1.p	superfamily	274147	1	808	0	1486.96	cl37117	sucrsPsyn_pln superfamily	 - 	 - 
Q#32 - >Pavir.5NG322700.2.p	superfamily	274147	1	808	0	1486.96	cl37117	sucrsPsyn_pln superfamily	 - 	 - 
Q#33 - >Pavir.5NG322700.3.p	superfamily	274147	1	808	0	1486.96	cl37117	sucrsPsyn_pln superfamily	 - 	 - 
Q#34 - >Pavir.5KG720400.1.p	specific	274147	1	1067	0	1906.44	TIGR02468	sucrsPsyn_pln	 - 	cl37117
Q#35 - >Pavir.2KG018000.1.p	specific	215469	37	475	0	834.361	PLN02871	PLN02871	 - 	cl33585
Q#36 - >Pavir.2NG315000.3.p	specific	340827	7	385	0	689.361	cd03796	GT4_PIG-A-like	 - 	cl10013
Q#37 - >Pavir.2KG305400.7.p	specific	340827	1	360	0	631.581	cd03796	GT4_PIG-A-like	 - 	cl10013
Q#38 - >Pavir.2NG315000.2.p	specific	340827	1	360	0	636.588	cd03796	GT4_PIG-A-like	 - 	cl10013
Q#39 - >Pavir.2KG305400.3.p	specific	340827	51	401	0	642.751	cd03796	GT4_PIG-A-like	 - 	cl10013
Q#40 - >Pavir.2KG305400.5.p	specific	340827	51	401	0	642.751	cd03796	GT4_PIG-A-like	 - 	cl10013
Q#41 - >Pavir.2NG315000.1.p	specific	340827	7	402	0	714.399	cd03796	GT4_PIG-A-like	 - 	cl10013
Q#42 - >Pavir.2KG305400.1.p	specific	340827	51	446	0	707.85	cd03796	GT4_PIG-A-like	 - 	cl10013
Q#43 - >Pavir.2KG305400.4.p	specific	340827	51	446	0	707.85	cd03796	GT4_PIG-A-like	 - 	cl10013
Q#44 - >Pavir.2NG130100.1.p	specific	340827	7	387	0	699.376	cd03796	GT4_PIG-A-like	 - 	cl10013
Q#45 - >Pavir.5NG071800.1.p	specific	215469	10	433	0	834.746	PLN02871	PLN02871	 - 	cl33585
