#Batch CD-search tool	NIH/NLM/NCBI
#cdsid	QM3-qcdsearch-30E8B51D5DE3EDFD-369F5C74DE072D89
#datatype	hitsConcise Results
#status	0
#Start time	2020-09-25T18:49:33	Run time	0:00:01:01
#status	success

Query	Hit type	PSSM-ID	From	To	E-Value	Bitscore	Accession	Short name	Incomplete	Superfamily
Q#1 - >Pavir.2NG078900.1.p	superfamily	385653	18	154	6.5265e-37	133.105	cl10013	Glycosyltransferase_GTB-type superfamily	C	 - 
Q#2 - >Pavir.2NG463000.1.p	superfamily	223231	477	958	1.23732e-35	139.747	cl33780	GalK superfamily	 - 	 - 
Q#2 - >Pavir.2NG463000.1.p	superfamily	385653	191	307	2.87895e-06	50.3946	cl10013	Glycosyltransferase_GTB-type superfamily	N	 - 
Q#2 - >Pavir.2NG463000.1.p	superfamily	385653	16	177	5.11996e-06	49.8572	cl10013	Glycosyltransferase_GTB-type superfamily	C	 - 
Q#2 - >Pavir.2NG463000.1.p	superfamily	389743	722	777	0.00336627	40.3499	cl21453	PKc_like superfamily	C	 - 
Q#3 - >Pavir.5NG026700.1.p	superfamily	179937	599	742	5.87918e-27	113.865	cl32074	PRK05101 superfamily	NC	 - 
Q#3 - >Pavir.5NG026700.1.p	superfamily	272924	490	884	5.44038e-20	93.3504	cl36593	gal_kin superfamily	C	 - 
Q#3 - >Pavir.5NG026700.1.p	superfamily	385653	191	307	2.51165e-06	50.7798	cl10013	Glycosyltransferase_GTB-type superfamily	N	 - 
Q#3 - >Pavir.5NG026700.1.p	superfamily	385653	16	177	8.07472e-06	49.0868	cl10013	Glycosyltransferase_GTB-type superfamily	C	 - 
Q#4 - >Pavir.5NG026700.2.p	superfamily	179937	599	742	5.80797e-27	113.865	cl32074	PRK05101 superfamily	NC	 - 
Q#4 - >Pavir.5NG026700.2.p	superfamily	272924	490	882	3.01971e-20	94.1208	cl36593	gal_kin superfamily	C	 - 
Q#4 - >Pavir.5NG026700.2.p	superfamily	385653	191	307	2.50543e-06	50.7798	cl10013	Glycosyltransferase_GTB-type superfamily	N	 - 
Q#4 - >Pavir.5NG026700.2.p	superfamily	385653	16	177	7.98508e-06	49.0868	cl10013	Glycosyltransferase_GTB-type superfamily	C	 - 
Q#5 - >Pavir.5NG026700.3.p	superfamily	179937	598	741	5.79961e-27	113.865	cl32074	PRK05101 superfamily	NC	 - 
Q#5 - >Pavir.5NG026700.3.p	superfamily	272924	489	881	3.01544e-20	94.1208	cl36593	gal_kin superfamily	C	 - 
