#Batch CD-search tool	NIH/NLM/NCBI
#cdsid	QM3-qcdsearch-274FCFE548A1EA52-376253925BAC561E
#datatype	hitsConcise Results
#status	0
#Start time	2020-09-23T21:36:03	Run time	0:00:03:08
#status	success

Query	Hit type	PSSM-ID	From	To	E-Value	Bitscore	Accession	Short name	Incomplete	Superfamily
Q#1 - >Pavir.1KG092900.1.p	specific	367297	99	377	2.40613e-62	203.033	pfam03016	Exostosin	 - 	cl20239
Q#2 - >Pavir.1KG305500.1.p	specific	367297	59	354	2.35799e-86	264.665	pfam03016	Exostosin	 - 	cl20239
Q#3 - >Pavir.1KG380500.1.p	specific	367297	1	288	4.55633e-71	222.678	pfam03016	Exostosin	 - 	cl20239
Q#4 - >Pavir.1NG083100.1.p	specific	367297	86	364	2.9803e-62	202.263	pfam03016	Exostosin	 - 	cl20239
Q#5 - >Pavir.1NG273700.1.p	specific	367297	48	299	1.0716e-66	212.278	pfam03016	Exostosin	 - 	cl20239
Q#6 - >Pavir.1NG364000.1.p	specific	367297	1	287	3.8768e-70	219.982	pfam03016	Exostosin	 - 	cl20239
Q#7 - >Pavir.2KG109900.1.p	specific	367297	237	507	5.7172e-55	187.24	pfam03016	Exostosin	 - 	cl20239
Q#8 - >Pavir.2KG494500.1.p	specific	367297	104	420	2.31906e-78	246.561	pfam03016	Exostosin	 - 	cl20239
Q#9 - >Pavir.2NG076300.1.p	specific	367297	88	372	1.12473e-66	214.204	pfam03016	Exostosin	 - 	cl20239
Q#10 - >Pavir.2NG076300.2.p	specific	367297	71	355	1.11727e-66	213.434	pfam03016	Exostosin	 - 	cl20239
Q#11 - >Pavir.2NG076300.3.p	specific	367297	88	372	1.12473e-66	214.204	pfam03016	Exostosin	 - 	cl20239
Q#12 - >Pavir.2NG076300.4.p	specific	367297	88	372	1.12473e-66	214.204	pfam03016	Exostosin	 - 	cl20239
Q#13 - >Pavir.2NG543100.1.p	specific	367297	103	419	4.5822e-78	245.79	pfam03016	Exostosin	 - 	cl20239
Q#14 - >Pavir.3KG001100.1.p	specific	367297	89	400	2.81538e-62	203.804	pfam03016	Exostosin	 - 	cl20239
Q#15 - >Pavir.3KG005900.1.p	specific	367297	89	400	6.1679e-61	200.337	pfam03016	Exostosin	 - 	cl20239
Q#16 - >Pavir.3KG005900.2.p	specific	367297	89	400	6.1679e-61	200.337	pfam03016	Exostosin	 - 	cl20239
Q#17 - >Pavir.3KG065300.1.p	specific	367297	99	429	1.52249e-55	188.011	pfam03016	Exostosin	 - 	cl20239
Q#18 - >Pavir.3KG280600.1.p	specific	367297	48	343	9.7296e-85	260.428	pfam03016	Exostosin	 - 	cl20239
Q#19 - >Pavir.3KG280700.1.p	specific	367297	48	343	1.96766e-82	254.265	pfam03016	Exostosin	 - 	cl20239
Q#20 - >Pavir.3KG280700.2.p	specific	367297	48	343	1.96766e-82	254.265	pfam03016	Exostosin	 - 	cl20239
Q#21 - >Pavir.3KG280700.3.p	specific	367297	1	269	1.68196e-70	221.138	pfam03016	Exostosin	 - 	cl20239
Q#22 - >Pavir.3KG500600.1.p	specific	367297	164	461	1.10009e-67	219.982	pfam03016	Exostosin	 - 	cl20239
Q#22 - >Pavir.3KG500600.1.p	superfamily	283420	45	129	0.00288892	39.8627	cl05358	Rubella_Capsid superfamily	C	 - 
Q#23 - >Pavir.3NG034700.1.p	specific	367297	54	353	2.3034e-43	153.343	pfam03016	Exostosin	 - 	cl20239
Q#24 - >Pavir.3NG034700.2.p	specific	367297	54	309	4.36793e-27	107.119	pfam03016	Exostosin	 - 	cl20239
Q#25 - >Pavir.3NG061900.1.p	specific	367297	89	416	1.56617e-56	190.322	pfam03016	Exostosin	 - 	cl20239
Q#26 - >Pavir.4KG070200.1.p	specific	367297	81	270	1.16048e-24	102.111	pfam03016	Exostosin	C	cl20239
Q#27 - >Pavir.4KG088600.1.p	specific	367297	265	558	1.7703e-23	100.57	pfam03016	Exostosin	 - 	cl20239
Q#28 - >Pavir.4KG290800.1.p	specific	367297	93	432	1.26331e-42	155.654	pfam03016	Exostosin	 - 	cl20239
Q#29 - >Pavir.4NG191300.1.p	specific	367297	51	346	4.57806e-77	240.783	pfam03016	Exostosin	 - 	cl20239
Q#30 - >Pavir.5KG147400.1.p	specific	367297	226	514	3.52799e-70	227.301	pfam03016	Exostosin	 - 	cl20239
Q#31 - >Pavir.5KG147400.2.p	specific	367297	195	483	2.49494e-70	226.916	pfam03016	Exostosin	 - 	cl20239
Q#32 - >Pavir.5KG147400.3.p	specific	367297	225	513	3.95697e-70	226.916	pfam03016	Exostosin	 - 	cl20239
Q#33 - >Pavir.5KG453500.1.p	specific	367297	168	455	2.83295e-64	210.352	pfam03016	Exostosin	 - 	cl20239
Q#34 - >Pavir.5KG591700.1.p	specific	367297	113	420	1.29524e-84	262.739	pfam03016	Exostosin	 - 	cl20239
Q#35 - >Pavir.5KG598000.1.p	specific	367297	113	420	9.79062e-85	263.124	pfam03016	Exostosin	 - 	cl20239
Q#36 - >Pavir.5KG645500.1.p	specific	367297	57	353	6.19054e-42	149.491	pfam03016	Exostosin	 - 	cl20239
